xmin,ymin,x,y,xmax,ymax,x1min,y1min,x1,y1,x1max,y1max,x2min,y2min,x2,y2,x2max,y2max,output
1846,3413,1853,3413,1861,3413,1778,3266,1852,3266,1926,3266,1833,3254,1852,3254,1871,3254,1
1727,3400,1735,3400,1743,3400,1683,3266,1732,3266,1782,3266,1713,3254,1732,3254,1752,3254,1
667,3458,675,3458,683,3458,648,3274,673,3274,699,3274,653,3262,671,3262,690,3262,1
667,3458,675,3458,683,3458,648,3274,673,3274,699,3274,659,3135,666,3135,674,3135,1
411,3438,421,3438,431,3438,333,3274,388,3274,444,3274,340,3262,359,3262,379,3262,1
2132,3393,2140,3393,2148,3393,2111,3235,2148,3235,2186,3235,2130,3223,2148,3223,2167,3223,1
2495,3395,2503,3395,2511,3395,2355,3266,2500,3266,2646,3266,2481,3254,2500,3254,2520,3254,1
558,3458,566,3458,574,3458,531,3274,562,3274,594,3274,544,3262,562,3262,581,3262,1
1249,3460,1256,3460,1264,3460,1204,3274,1265,3274,1327,3274,1246,3262,1265,3262,1285,3262,1
1656,3407,1663,3407,1670,3407,1611,3266,1649,3266,1687,3266,1630,3254,1649,3254,1668,3254,1
3396,2840,3428,2840,3460,2840,2893,2698,3483,2698,4074,2698,2906,2648,2931,2648,2956,2648,1
3396,2840,3428,2840,3460,2840,2893,2698,3483,2698,4074,2698,2936,2685,2961,2685,2987,2685,1
3396,2840,3428,2840,3460,2840,2893,2698,3483,2698,4074,2698,2906,2648,2931,2648,2956,2648,1
3396,2840,3428,2840,3460,2840,2893,2698,3483,2698,4074,2698,2936,2685,2961,2685,2987,2685,1
911,3460,919,3460,927,3460,872,3274,918,3274,965,3274,900,3262,918,3262,937,3262,1
804,3432,814,3432,824,3432,753,3274,814,3274,876,3274,795,3262,814,3262,834,3262,1
717,3407,724,3407,732,3407,695,3274,726,3274,757,3274,708,3262,726,3262,745,3262,1
1940,3471,1947,3471,1955,3471,1922,3266,1948,3266,1974,3266,1929,3254,1947,3254,1966,3254,1
2831,3443,2838,3443,2846,3443,2808,3285,2843,3285,2878,3285,2805,3253,2823,3253,2842,3253,1
2831,3443,2838,3443,2846,3443,2808,3285,2843,3285,2878,3285,2815,3294,2834,3294,2854,3294,1
3153,3429,3162,3429,3172,3429,3137,3265,3162,3265,3188,3265,3144,3253,3162,3253,3181,3253,1
3299,3458,3307,3458,3315,3458,3270,3265,3310,3265,3351,3265,3292,3253,3310,3253,3329,3253,1
4051,3438,4060,3438,4070,3438,4042,3270,4097,3270,4152,3270,4107,3257,4126,3257,4146,3257,1
4051,3438,4060,3438,4070,3438,4042,3270,4097,3270,4152,3270,4003,3257,4022,3257,4042,3257,1
