xmin,ymin,x,y,xmax,ymax,x1min,y1min,x1,y1,x1max,y1max,x2min,y2min,x2,y2,x2max,y2max,output
0.13,0.92,0.13,0.92,0.14,0.92,0.12,0.88,0.13,0.88,0.14,0.88,0.13,0.88,0.13,0.88,0.14,0.88,1
0.16,0.91,0.16,0.91,0.16,0.91,0.15,0.88,0.16,0.88,0.17,0.88,0.16,0.88,0.16,0.88,0.16,0.88,1
0.19,0.92,0.19,0.92,0.19,0.92,0.18,0.88,0.19,0.88,0.20,0.88,0.18,0.17,0.18,0.17,0.19,0.17,1
0.22,0.93,0.23,0.93,0.23,0.93,0.21,0.88,0.23,0.88,0.25,0.88,0.23,0.88,0.23,0.88,0.23,0.88,1
0.17,0.94,0.18,0.94,0.18,0.94,0.17,0.88,0.18,0.88,0.19,0.88,0.17,0.88,0.18,0.88,0.18,0.88,1
0.17,0.94,0.18,0.94,0.18,0.94,0.17,0.88,0.18,0.88,0.19,0.88,0.17,0.18,0.18,0.18,0.18,0.18,1
0.21,0.92,0.21,0.92,0.21,0.92,0.20,0.88,0.21,0.88,0.22,0.88,0.20,0.88,0.21,0.88,0.21,0.88,1
0.33,0.65,0.34,0.65,0.34,0.65,0.31,0.64,0.34,0.64,0.36,0.64,0.33,0.64,0.34,0.64,0.34,0.64,1
0.43,0.65,0.44,0.65,0.45,0.65,0.42,0.64,0.44,0.64,0.46,0.64,0.43,0.64,0.44,0.64,0.44,0.64,1
0.29,0.65,0.29,0.65,0.30,0.65,0.27,0.64,0.29,0.64,0.32,0.64,0.29,0.64,0.29,0.64,0.30,0.64,1
0.26,0.62,0.26,0.62,0.27,0.62,0.25,0.62,0.26,0.62,0.27,0.62,0.26,0.61,0.26,0.61,0.27,0.61,1
0.47,0.62,0.47,0.62,0.48,0.62,0.46,0.62,0.47,0.62,0.48,0.62,0.47,0.61,0.47,0.61,0.48,0.61,1
0.28,0.62,0.32,0.62,0.35,0.62,0.27,0.62,0.31,0.62,0.36,0.62,0.31,0.61,0.31,0.61,0.32,0.61,1
0.39,0.62,0.42,0.62,0.45,0.62,0.38,0.62,0.42,0.62,0.46,0.62,0.41,0.61,0.42,0.61,0.42,0.61,1
0.36,0.62,0.37,0.62,0.38,0.62,0.36,0.62,0.37,0.62,0.38,0.62,0.36,0.61,0.37,0.61,0.37,0.61,1
0.48,0.62,0.50,0.62,0.52,0.62,0.48,0.62,0.50,0.62,0.53,0.62,0.50,0.61,0.50,0.61,0.51,0.61,1
0.90,0.67,0.90,0.67,0.90,0.67,0.85,0.62,0.90,0.62,0.96,0.62,0.90,0.61,0.90,0.61,0.91,0.61,1
0.12,0.62,0.14,0.62,0.15,0.62,0.03,0.62,0.14,0.62,0.25,0.62,0.13,0.61,0.14,0.61,0.14,0.61,1
0.77,0.73,0.79,0.73,0.81,0.73,0.75,0.72,0.79,0.72,0.82,0.72,0.78,0.72,0.79,0.72,0.79,0.72,1
0.67,0.92,0.67,0.92,0.67,0.92,0.66,0.87,0.67,0.87,0.68,0.87,0.66,0.87,0.67,0.87,0.67,0.87,1
0.67,0.92,0.67,0.92,0.67,0.92,0.66,0.87,0.67,0.87,0.68,0.87,0.68,0.87,0.69,0.87,0.69,0.87,1
0.58,0.91,0.58,0.91,0.58,0.91,0.54,0.87,0.58,0.87,0.61,0.87,0.57,0.87,0.58,0.87,0.58,0.87,1
0.62,0.92,0.62,0.92,0.62,0.92,0.61,0.87,0.62,0.87,0.63,0.87,0.62,0.87,0.62,0.87,0.63,0.87,1
0.70,0.92,0.70,0.92,0.70,0.92,0.69,0.87,0.70,0.87,0.71,0.87,0.70,0.87,0.70,0.87,0.71,0.87,1
0.73,0.93,0.74,0.93,0.74,0.93,0.73,0.87,0.73,0.87,0.74,0.87,0.74,0.87,0.75,0.87,0.75,0.87,1
0.73,0.93,0.74,0.93,0.74,0.93,0.73,0.87,0.73,0.87,0.74,0.87,0.71,0.87,0.72,0.87,0.72,0.87,1
0.54,0.93,0.54,0.93,0.54,0.93,0.53,0.87,0.54,0.87,0.54,0.87,0.53,0.87,0.54,0.87,0.54,0.87,1
0.72,0.92,0.72,0.92,0.72,0.92,0.71,0.87,0.72,0.87,0.73,0.87,0.73,0.87,0.74,0.87,0.74,0.87,1
0.72,0.92,0.72,0.92,0.72,0.92,0.71,0.87,0.72,0.87,0.73,0.87,0.73,0.18,0.73,0.18,0.73,0.18,1
0.64,0.91,0.65,0.91,0.65,0.91,0.63,0.87,0.64,0.87,0.66,0.87,0.64,0.87,0.64,0.87,0.65,0.87,1
0.84,0.93,0.84,0.93,0.84,0.93,0.84,0.88,0.85,0.88,0.86,0.88,0.90,0.61,0.90,0.61,0.91,0.61,0
0.90,0.67,0.90,0.67,0.90,0.67,0.84,0.62,0.90,0.62,0.96,0.62,0.85,0.88,0.85,0.88,0.86,0.88,0
0.90,0.67,0.90,0.67,0.90,0.67,0.84,0.62,0.90,0.62,0.96,0.62,0.83,0.88,0.83,0.88,0.84,0.88,0
0.90,0.67,0.90,0.67,0.90,0.67,0.84,0.62,0.90,0.62,0.96,0.62,0.49,0.20,0.49,0.20,0.50,0.20,0
0.49,0.26,0.49,0.26,0.50,0.26,0.49,0.20,0.49,0.20,0.50,0.20,0.90,0.61,0.90,0.61,0.91,0.61,0
0.50,0.25,0.51,0.25,0.51,0.25,0.50,0.19,0.50,0.19,0.51,0.19,0.67,0.06,0.67,0.06,0.68,0.06,0
0.66,0.07,0.67,0.07,0.68,0.07,0.66,0.06,0.67,0.06,0.69,0.06,0.50,0.19,0.50,0.19,0.51,0.19,0
0.81,0.26,0.82,0.26,0.82,0.26,0.81,0.20,0.82,0.20,0.82,0.20,0.79,0.21,0.79,0.21,0.79,0.21,0
0.79,0.27,0.79,0.27,0.79,0.27,0.78,0.21,0.79,0.21,0.80,0.21,0.81,0.20,0.82,0.20,0.82,0.20,0
0.79,0.27,0.79,0.27,0.79,0.27,0.78,0.21,0.79,0.21,0.80,0.21,0.82,0.17,0.82,0.17,0.82,0.17,0
0.79,0.27,0.79,0.27,0.79,0.27,0.78,0.21,0.79,0.21,0.80,0.21,0.73,0.20,0.74,0.20,0.74,0.20,0
0.74,0.26,0.74,0.26,0.74,0.26,0.73,0.20,0.74,0.20,0.74,0.20,0.79,0.21,0.79,0.21,0.79,0.21,0
0.74,0.26,0.74,0.26,0.74,0.26,0.73,0.20,0.74,0.20,0.74,0.20,0.78,0.20,0.79,0.20,0.79,0.20,0
0.74,0.26,0.74,0.26,0.74,0.26,0.73,0.20,0.74,0.20,0.74,0.20,0.78,0.17,0.79,0.17,0.79,0.17,0
0.74,0.26,0.74,0.26,0.74,0.26,0.73,0.20,0.74,0.20,0.74,0.20,0.67,0.20,0.67,0.20,0.68,0.20,0
0.67,0.26,0.67,0.26,0.68,0.26,0.67,0.20,0.67,0.20,0.68,0.20,0.73,0.20,0.74,0.20,0.74,0.20,0
0.67,0.26,0.67,0.26,0.68,0.26,0.67,0.20,0.67,0.20,0.68,0.20,0.74,0.17,0.74,0.17,0.74,0.17,0
0.67,0.26,0.67,0.26,0.68,0.26,0.67,0.20,0.67,0.20,0.68,0.20,0.81,0.06,0.81,0.06,0.82,0.06,0
0.80,0.07,0.81,0.07,0.82,0.07,0.79,0.06,0.81,0.06,0.84,0.06,0.67,0.20,0.67,0.20,0.68,0.20,0
0.80,0.07,0.81,0.07,0.82,0.07,0.79,0.06,0.81,0.06,0.84,0.06,0.67,0.17,0.68,0.17,0.68,0.17,0
0.80,0.07,0.81,0.07,0.82,0.07,0.79,0.06,0.81,0.06,0.84,0.06,0.76,0.06,0.76,0.06,0.77,0.06,0
0.74,0.07,0.76,0.07,0.78,0.07,0.73,0.06,0.76,0.06,0.79,0.06,0.81,0.06,0.81,0.06,0.82,0.06,0
0.69,0.07,0.71,0.07,0.72,0.07,0.69,0.06,0.71,0.06,0.73,0.06,0.76,0.13,0.77,0.13,0.77,0.13,0
0.77,0.27,0.77,0.27,0.77,0.27,0.75,0.14,0.77,0.14,0.78,0.14,0.70,0.06,0.71,0.06,0.71,0.06,0
0.70,0.26,0.70,0.26,0.71,0.26,0.68,0.14,0.70,0.14,0.72,0.14,0.39,0.06,0.39,0.06,0.40,0.06,0
0.38,0.07,0.39,0.07,0.41,0.07,0.33,0.06,0.39,0.06,0.45,0.06,0.70,0.13,0.70,0.13,0.71,0.13,0
0.17,0.26,0.17,0.26,0.17,0.26,0.15,0.22,0.17,0.22,0.18,0.22,0.31,0.06,0.31,0.06,0.32,0.06,0
0.30,0.07,0.31,0.07,0.32,0.07,0.30,0.06,0.31,0.06,0.32,0.06,0.16,0.22,0.17,0.22,0.17,0.22,0
0.16,0.07,0.17,0.07,0.18,0.07,0.15,0.06,0.17,0.06,0.20,0.06,0.22,0.06,0.23,0.06,0.23,0.06,0
0.21,0.07,0.23,0.07,0.24,0.07,0.20,0.06,0.23,0.06,0.26,0.06,0.17,0.06,0.17,0.06,0.18,0.06,0
