xmin,ymin,x,y,xmax,ymax,x1min,y1min,x1,y1,x1max,y1max,x2min,y2min,x2,y2,x2max,y2max,output
1072,2501,1099,2501,1127,2501,1042,2485,1099,2485,1157,2485,1077,2468,1099,2468,1122,2468,1
2111,2501,2138,2501,2166,2501,2081,2485,2139,2485,2197,2485,2116,2468,2138,2468,2161,2468,1
1203,2502,1365,2502,1528,2502,1153,2485,1359,2485,1565,2485,1338,2468,1359,2468,1380,2468,1
1712,2502,1875,2502,2038,2502,1673,2485,1879,2485,2085,2485,1858,2468,1879,2468,1900,2468,1
4314,2516,4416,2516,4519,2516,4142,2484,4414,2484,4687,2484,4394,2467,4423,2467,4452,2467,1
3788,2744,3884,2744,3980,2744,3709,2729,3881,2729,4053,2729,3862,2714,3884,2714,3907,2714,1
2206,2501,2306,2501,2407,2501,2193,2485,2306,2485,2420,2485,2285,2468,2306,2468,2328,2468,1
224,3794,233,3794,242,3794,194,3572,224,3572,254,3572,247,3507,268,3507,290,3507,0
260,3780,269,3780,278,3780,233,3522,268,3522,304,3522,196,3557,218,3557,240,3557,0
356,3805,367,3805,379,3805,300,3522,371,3522,443,3522,448,3507,469,3507,491,3507,0
449,3760,460,3760,472,3760,439,3522,469,3522,499,3522,349,3507,371,3507,394,3507,0
518,3792,527,3792,536,3792,495,3522,525,3522,555,3522,600,3507,623,3507,646,3507,0
611,3805,622,3805,634,3805,551,3522,623,3522,695,3522,503,3507,525,3507,547,3507,0
734,3770,743,3770,752,3770,691,3522,748,3522,806,3522,837,3507,860,3507,883,3507,0
861,3787,870,3787,879,3787,802,3522,860,3522,918,3522,726,3507,748,3507,771,3507,0
2398,913,2406,913,2414,913,2386,678,2406,678,2427,678,2435,646,2456,646,2478,646,0
2461,899,2468,899,2476,899,2432,658,2456,658,2481,658,2385,671,2405,671,2426,671,0
3254,169,3304,169,3354,169,3250,152,3307,152,3365,152,4003,671,4024,671,4045,671,0
4003,915,4013,915,4023,915,3994,683,4024,683,4054,683,3285,139,3307,139,3329,139,0
4003,915,4013,915,4023,915,3994,683,4024,683,4054,683,3213,139,3234,139,3256,139,0
4003,915,4013,915,4023,915,3994,683,4024,683,4054,683,3864,720,3885,720,3906,720,0
3880,957,3887,957,3895,957,3849,732,3884,732,3920,732,4003,671,4024,671,4045,671,0
3880,957,3887,957,3895,957,3849,732,3884,732,3920,732,4008,578,4016,578,4025,578,0
3880,957,3887,957,3895,957,3849,732,3884,732,3920,732,3597,671,3618,671,3639,671,0
3613,922,3621,922,3629,922,3590,683,3619,683,3649,683,3864,720,3885,720,3906,720,0
3613,922,3621,922,3629,922,3590,683,3619,683,3649,683,3852,675,3860,675,3869,675,0
3613,922,3621,922,3629,922,3590,683,3619,683,3649,683,3852,587,3860,587,3869,587,0
3613,922,3621,922,3629,922,3590,683,3619,683,3649,683,3286,671,3307,671,3328,671,0
