2810,2617,2838,2617,2867,2617,2741,2601,2838,2601,2936,2601,2817,2585,2838,2585,2860,2585,1
3338,2617,3366,2617,3394,2617,3269,2601,3366,2601,3464,2601,3345,2585,3366,2585,3387,2585,1
2404,2617,2432,2617,2461,2617,2335,2601,2424,2601,2513,2601,2411,2585,2432,2585,2454,2585,1
3934,2617,4086,2617,4238,2617,3522,2601,4038,2601,4555,2601,4010,2585,4037,2585,4064,2585,1
2535,2681,2543,2681,2552,2681,2509,2601,2551,2601,2593,2601,2522,2585,2543,2585,2564,2585,1
3074,2617,3102,2617,3130,2617,2932,2601,3102,2601,3273,2601,3081,2585,3102,2585,3123,2585,1
2023,2617,2051,2617,2080,2617,1955,2601,2052,2601,2149,2601,2030,2585,2051,2585,2073,2585,1
805,2662,899,2662,993,2662,789,2643,896,2643,1003,2643,876,2627,896,2627,916,2627,1
455,3144,490,3144,525,3144,270,2748,432,2748,594,2748,411,2733,432,2733,453,2733,1
700,2903,707,2903,714,2903,590,2748,661,2748,732,2748,640,2732,661,2732,682,2732,1
3539,3556,3547,3556,3556,3556,3519,2852,3547,2852,3575,2852,3527,2838,3547,2838,3567,2838,1
