xmin,ymin,x,y,xmax,ymax,x1min,y1min,x1,y1,x1max,y1max,x2min,y2min,x2,y2,x2max,y2max,output
684,2862,848,2862,1013,2862,419,2843,849,2843,1279,2843,820,2826,849,2826,878,2826,1
1327,2860,1491,2860,1656,2860,1275,2843,1483,2843,1691,2843,1460,2826,1483,2826,1506,2826,1
1850,2860,2014,2860,2179,2860,1799,2843,2007,2843,2215,2843,1984,2826,2007,2826,2030,2826,1
2780,2858,2853,2858,2926,2858,2211,2843,2815,2843,3420,2843,2823,2828,2853,2828,2883,2828,1
3552,2859,3738,2859,3925,2859,3416,2843,3738,2843,4060,2843,3709,2827,3738,2827,3767,2827,1
4067,3221,4142,3221,4218,3221,4056,2843,4141,2843,4226,2843,4118,2826,4141,2826,4164,2826,1
4458,2859,4506,2859,4554,2859,4222,2843,4505,2843,4789,2843,4477,2826,4505,2826,4534,2826,1
3429,2953,3530,2953,3632,2953,3416,2937,3530,2937,3645,2937,3507,2920,3530,2920,3554,2920,1
3657,3707,3666,3707,3675,3707,3641,2937,3678,2937,3716,2937,3657,2920,3679,2920,3701,2920,1
3686,3752,3697,3752,3709,3752,3641,2937,3678,2937,3716,2937,3657,2920,3679,2920,3701,2920,1
3670,3015,3679,3015,3688,3015,3641,2937,3678,2937,3716,2937,3657,2920,3679,2920,3701,2920,1
3789,2953,3886,2953,3983,2953,3712,2937,3886,2937,4060,2937,3865,2920,3886,2920,3907,2920,1
1641,233,1691,233,1742,233,1635,219,1693,219,1751,219,1671,207,1693,207,1715,207,1
933,233,989,233,1045,233,883,219,993,219,1104,219,971,207,993,207,1015,207,1
931,256,989,256,1047,256,883,219,993,219,1104,219,971,207,993,207,1015,207,1
1171,233,1250,233,1330,233,1100,219,1256,219,1413,219,1235,207,1256,207,1278,207,1
1445,233,1518,233,1591,233,1409,219,1524,219,1639,219,1502,207,1524,207,1546,207,1
1103,1033,1111,1033,1119,1033,1052,856,1110,856,1169,856,1091,844,1113,844,1135,844,1
1103,1033,1111,1033,1119,1033,1052,856,1110,856,1169,856,1089,793,1110,793,1131,793,1
1103,1033,1111,1033,1119,1033,1052,856,1110,856,1169,856,1114,747,1122,747,1131,747,1
1103,1033,1111,1033,1119,1033,1052,856,1110,856,1169,856,1114,658,1122,658,1131,658,1
1243,1026,1253,1026,1263,1026,1165,856,1237,856,1309,856,1222,844,1244,844,1266,844,1
1243,1026,1253,1026,1263,1026,1165,856,1237,856,1309,856,1199,657,1207,657,1216,657,1
1368,996,1375,996,1383,996,1305,856,1377,856,1450,856,1363,844,1385,844,1407,844,1
1368,996,1375,996,1383,996,1305,856,1377,856,1450,856,1354,793,1375,793,1396,793,1
1368,996,1375,996,1383,996,1305,856,1377,856,1450,856,1351,657,1359,657,1368,657,1
1368,996,1375,996,1383,996,1305,856,1377,856,1450,856,1413,671,1421,671,1430,671,1
1567,1003,1574,1003,1582,1003,1446,856,1546,856,1647,856,1533,844,1555,844,1577,844,1
1567,1003,1574,1003,1582,1003,1446,856,1546,856,1647,856,1558,651,1566,651,1575,651,1
1541,1023,1551,1023,1561,1023,1446,856,1546,856,1647,856,1533,844,1555,844,1577,844,1
1541,1023,1551,1023,1561,1023,1446,856,1546,856,1647,856,1558,651,1566,651,1575,651,1
2595,987,2603,987,2611,987,2573,755,2603,755,2633,755,2632,718,2654,718,2676,718,0
2659,973,2666,973,2674,973,2629,730,2654,730,2679,730,2581,743,2602,743,2624,743,0
2634,1021,2642,1021,2650,1021,2629,730,2654,730,2679,730,3491,207,3513,207,3535,207,0
3459,236,3509,236,3560,236,3455,219,3513,219,3572,219,2632,718,2654,718,2676,718,0
4216,989,4226,989,4236,989,4207,755,4237,755,4267,755,4075,793,4096,793,4118,793,0
4091,1033,4099,1033,4107,1033,4060,805,4096,805,4132,805,4216,743,4237,743,4258,743,0
4091,1033,4099,1033,4107,1033,4060,805,4096,805,4132,805,4221,650,4230,650,4239,650,0
4091,1033,4099,1033,4107,1033,4060,805,4096,805,4132,805,3806,743,3827,743,3848,743,0
3822,996,3830,996,3838,996,3799,755,3829,755,3859,755,4075,793,4096,793,4118,793,0
3822,996,3830,996,3838,996,3799,755,3829,755,3859,755,4063,747,4071,747,4080,747,0
3822,996,3830,996,3838,996,3799,755,3829,755,3859,755,4063,658,4071,658,4080,658,0
3822,996,3830,996,3838,996,3799,755,3829,755,3859,755,3492,743,3513,743,3534,743,0
3505,996,3513,996,3521,996,3483,755,3513,755,3543,755,3806,743,3827,743,3848,743,0
3505,996,3513,996,3521,996,3483,755,3513,755,3543,755,3833,657,3841,657,3850,657,0
3505,996,3513,996,3521,996,3483,755,3513,755,3543,755,4191,207,4213,207,4235,207,0
4154,232,4209,232,4265,232,4103,219,4213,219,4324,219,3492,743,3513,743,3534,743,0
4154,232,4209,232,4265,232,4103,219,4213,219,4324,219,3515,651,3523,651,3532,651,0
4154,232,4209,232,4265,232,4103,219,4213,219,4324,219,4191,207,4213,207,4235,207,0
4151,258,4209,258,4268,258,4103,219,4213,219,4324,219,4191,207,4213,207,4235,207,0
3865,233,3944,233,4024,233,3793,219,3950,219,4107,219,3661,207,3683,207,3705,207,0
3604,235,3677,235,3751,235,3568,219,3682,219,3797,219,3935,207,3957,207,3979,207,0
3977,1026,3987,1026,3997,1026,3897,503,3969,503,4042,503,3638,491,3660,491,3682,491,0
3653,983,3662,983,3672,983,3559,503,3659,503,3760,503,3947,491,3969,491,3991,491,0
3678,1003,3686,1003,3694,1003,3559,503,3659,503,3760,503,2064,207,2092,207,2120,207,0
2014,233,2087,233,2160,233,1782,219,2092,219,2402,219,3638,491,3660,491,3682,491,0
972,989,981,989,991,989,883,856,955,856,1027,856,912,646,920,646,929,646,0
972,989,981,989,991,989,883,856,955,856,1027,856,933,844,955,844,977,844,0
972,989,981,989,991,989,883,856,955,856,1027,856,912,793,933,793,954,793,0
972,989,981,989,991,989,883,856,955,856,1027,856,948,768,969,768,990,768,0
972,989,981,989,991,989,883,856,955,856,1027,856,1032,657,1040,657,1049,657,0
972,989,981,989,991,989,883,856,955,856,1027,856,912,646,920,646,929,646,0
972,989,981,989,991,989,883,856,955,856,1027,856,946,650,954,650,963,650,0
972,989,981,989,991,989,883,856,955,856,1027,856,997,665,1005,665,1014,665,0
972,989,981,989,991,989,883,856,955,856,1027,856,933,844,955,844,977,844,0
911,1031,920,1031,930,1031,883,856,955,856,1027,856,1032,657,1040,657,1049,657,0
911,1031,920,1031,930,1031,883,856,955,856,1027,856,946,650,954,650,963,650,0
911,1031,920,1031,930,1031,883,856,955,856,1027,856,912,793,933,793,954,793,0
911,1031,920,1031,930,1031,883,856,955,856,1027,856,948,768,969,768,990,768,0
911,1031,920,1031,930,1031,883,856,955,856,1027,856,912,646,920,646,929,646,0
911,1031,920,1031,930,1031,883,856,955,856,1027,856,933,844,955,844,977,844,0
942,1026,952,1026,962,1026,883,856,955,856,1027,856,946,650,954,650,963,650,0
942,1026,952,1026,962,1026,883,856,955,856,1027,856,997,665,1005,665,1014,665,0
942,1026,952,1026,962,1026,883,856,955,856,1027,856,1032,657,1040,657,1049,657,0
942,1026,952,1026,962,1026,883,856,955,856,1027,856,912,646,920,646,929,646,0
942,1026,952,1026,962,1026,883,856,955,856,1027,856,933,844,955,844,977,844,0
942,1026,952,1026,962,1026,883,856,955,856,1027,856,912,793,933,793,954,793,0
942,1026,952,1026,962,1026,883,856,955,856,1027,856,948,768,969,768,990,768,0
942,1026,952,1026,962,1026,883,856,955,856,1027,856,1032,657,1040,657,1049,657,0
942,1026,952,1026,962,1026,883,856,955,856,1027,856,912,646,920,646,929,646,0
942,1026,952,1026,962,1026,883,856,955,856,1027,856,946,650,954,650,963,650,0
942,1026,952,1026,962,1026,883,856,955,856,1027,856,997,665,1005,665,1014,665,0
942,1026,952,1026,962,1026,883,856,955,856,1027,856,933,844,955,844,977,844,0
972,989,981,989,991,989,883,856,955,856,1027,856,1032,657,1040,657,1049,657,0
972,989,981,989,991,989,883,856,955,856,1027,856,946,650,954,650,963,650,0
972,989,981,989,991,989,883,856,955,856,1027,856,912,793,933,793,954,793,0
972,989,981,989,991,989,883,856,955,856,1027,856,948,768,969,768,990,768,0
972,989,981,989,991,989,883,856,955,856,1027,856,912,646,920,646,929,646,0
972,989,981,989,991,989,883,856,955,856,1027,856,933,844,955,844,977,844,0
1019,1040,1027,1040,1035,1040,883,856,955,856,1027,856,946,650,954,650,963,650,0
1019,1040,1027,1040,1035,1040,883,856,955,856,1027,856,997,665,1005,665,1014,665,0
1019,1040,1027,1040,1035,1040,883,856,955,856,1027,856,1032,657,1040,657,1049,657,0
1019,1040,1027,1040,1035,1040,883,856,955,856,1027,856,912,646,920,646,929,646,0
1019,1040,1027,1040,1035,1040,883,856,955,856,1027,856,933,844,955,844,977,844,0
